State Name,Total Number of Congregations,Total Number of Adherents,"Rates of Adherence per 1,000 Population",% of Adults Who Are Highly Religious,% of Adults Who Say Religion Is Very Important In Their Lives
Alabama,10514,3007553,629.23,0.77,77
Alaska,1246,240833,339.09,0.45,41
Arizona,4673,2379928,372.33,0.53,51
Arkansas,6697,1614357,553.64,0.70,70
California,23558,16765751,450.04,0.49,47
Colorado,4188,1902282,378.25,0.47,47
Connecticut,2597,1830862,512.26,0.43,42
Delaware,831,374917,417.53,0.52,46
District of Columbia,609,332342,552.32,0.53,50
Florida,15611,7357588,391.33,0.54,53
Georgia,12292,4924376,508.31,0.66,64
Hawaii,1314,561980,413.13,0.47,44
Idaho,2427,801655,511.4,0.51,51
Illinois,12453,7094832,552.96,0.51,50
Indiana,9061,2874144,443.28,0.54,53
Iowa,5107,1642344,539.12,0.55,53
Kansas,4782,1444455,506.27,0.55,50
Kentucky,7745,2237714,515.68,0.63,63
Louisiana,5841,2746897,605.93,0.71,71
Maine,1574,367043,276.31,0.34,34
Maryland,5336,2415376,418.35,0.54,50
Massachusetts,4200,3748058,572.43,0.33,33
Michigan,9521,4165343,421.44,0.53,50
Minnesota,5953,2986450,563.06,0.49,46
Mississippi,6765,1742916,587.37,0.77,74
Missouri,9001,2950894,492.72,0.60,56
Montana,1778,376976,381.01,0.48,44
Nebraska,2860,1016529,556.59,0.54,54
Nevada,1392,927955,343.62,0.49,44
New Hampshire,1025,462772,351.52,0.33,33
New Jersey,6114,4809520,547.04,0.55,50
New Mexico,2447,1031198,500.78,0.57,59
New York,14110,9923512,512.1,0.46,45
North Carolina,15737,4530365,475.11,0.65,62
North Dakota,1498,451456,671.22,0.53,53
Ohio,13606,5071684,439.62,0.58,56
Oklahoma,7057,2226379,593.49,0.66,64
Oregon,4026,1194793,311.87,0.48,45
Pennsylvania,15359,6838440,538.36,0.53,51
Rhode Island,677,576919,548.11,0.49,48
South Carolina,8051,2413443,521.78,0.70,69
South Dakota,1819,476832,585.66,0.59,57
Tennessee,11542,3522345,555.04,0.73,71
Texas,27848,13994564,556.54,0.64,63
Utah,5557,2186403,791.06,0.64,58
Vermont,854,210391,336.23,0.34,32
Virginia,10088,3586592,448.27,0.61,60
Washington,6114,2328005,346.2,0.45,44
West Virginia,4413,658313,355.27,0.69,64
Wisconsin,6078,3047442,535.86,0.45,44
Wyoming,948,223074,395.78,0.54,49
